year/make/model,price,fuel type
2019 Dodge Journey GT,"$27,891 ",Gasoline
2021 Toyota RAV4 XLE,"$37,951 ",Gasoline
2021 Toyota Highlander XLE,"$43,951 ",Gasoline
2019 BMW 330 i,"$37,991 ",Gasoline
2020 Mazda CX-5 Grand Touring,"$28,988 ",Gasoline
2020 Lexus RX 350 F Sport Performance,"$52,992 ",Gasoline
2022 Toyota Corolla LE,"$29,891 ",Gasoline
2019 Ford F-150 XLT,"$62,999 ",Gasoline
2019 BMW 330 i,"$40,962 ",Gasoline
2019 Land Rover Range Rover 5.0L V8 Supercharged,"$101,900 ",Gasoline
2019 Mazda CX-5 Sport,"$28,988 ",Gasoline
2020 Land Rover Discovery SE,"$48,822 ",Gasoline
2021 Volvo XC40 T5 R-Design,"$49,968 ",Gasoline
2020 Toyota Tundra SR5,"$39,951 ",Gasoline
2020 Dodge Challenger SXT,"$28,843 ",Gasoline
2019 Volvo XC90 T5 Momentum,"$48,968 ",Gasoline
2021 Mazda CX-5 Carbon Edition Turbo,"$41,998 ",Gasoline
2019 BMW 330 i,"$36,995 ",Gasoline
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"$69,977 ",Gasoline
2019 Dodge Journey GT,"$27,891 ",Gasoline
2021 Toyota Highlander XLE,"$42,500 ",Gasoline
2019 Volvo XC60 T5 Momentum,"$42,968 ",Gasoline
2021 Toyota Camry SE,"$34,891 ",Gasoline
2020 Hyundai Santa Fe Limited 2.0T,"$38,981 ",Gasoline
2019 Chevrolet Traverse LT Cloth,"$33,995 ",Gasoline
2019 Honda Pilot Touring 8-Passenger,"$37,000 ",Gasoline
2021 Mercedes-Benz GLC 300 Base,"$48,991 ",Gasoline
2020 Nissan Rogue S,"$26,286 ",Gasoline
2020 Nissan Pathfinder SV,"$29,993 ",Gasoline
2021 Mercedes-Benz GLC 300 Base 4MATIC,"$55,977 ",Gasoline
2020 Nissan Rogue SV,"$26,981 ",Gasoline
2020 Mazda CX-5 Grand Touring,"$29,488 ",Gasoline
2019 Toyota 4Runner Limited,"$39,991 ",Gasoline
2019 Honda Pilot EX-L w/Navigation/RES,"$36,981 ",Gasoline
2019 Ford Edge SEL,"$34,585 ",Gasoline
2021 Toyota Camry SE,"$31,500 ",Gasoline
2021 Toyota Highlander XLE,"$44,891 ",Gasoline
2019 Honda Pilot EX-L,"$36,988 ",Gasoline
2020 GMC Yukon SLT,"$49,500 ",Gasoline
2019 Mercedes-Benz AMG G 63 Base,"$199,777 ",Gasoline
2019 Honda Pilot EX-L,"$36,981 ",Gasoline
2021 Tesla Model Y Performance,"$75,688 ",Electric
2020 Toyota Tundra SR5,"$47,891 ",Gasoline
2021 Mercedes-Benz E-Class E 350,"$64,488 ",Gasoline
